,AFST 250A 001,Lecture,1,Tue Thu,12:30,14:00
,AFST 250A 002,Lecture,1,Tue Thu,15:30,17:00
,AFST 250A 003,Lecture,2,Tue Thu,12:30,14:00
,AFST 351A 001,Lecture,1,Tue Thu,11:00,12:30
,AFST 352A 002,Lecture,2,Tue Thu,15:30,17:00
,AFST 370 201,Lecture,2,Mon Wed Fri,12:00,13:00
Blocked,AGEC 530A 001,Directed Studies,1,,,
Blocked,AGEC 530A 002,Directed Studies,2,,,
Blocked,AGEC 530A 003,Directed Studies,1-2,,,
Blocked,AGEC 530B 001,Directed Studies,1,,,
Blocked,AGEC 530B 002,Directed Studies,2,,,
Blocked,AGEC 530B 003,Directed Studies,1-2,,,
Blocked,AGEC 530C 001,Directed Studies,1,,,
Blocked,AGEC 530C 002,Directed Studies,2,,,
Blocked,AGEC 530C 003,Directed Studies,1-2,,,
,AGEC 549 001,Thesis,1-2,,,
,AGEC 549 002,Thesis,1,,,
,AGEC 549 003,Thesis,2,,,
Blocked,ANAT 448J 002,Directed Studies,2,,,
Blocked,ANAT 448L 001,Directed Studies,1-2,,,
Blocked,ANAT 448N 001,Directed Studies,1-2,,,
Blocked,ANAT 504 001,Seminar,1-2,,,
Blocked,ANAT 504 002,Seminar,2,,,
Blocked,ANAT 511 001,Lecture-Laboratory,1,,,
Blocked,ANAT 512 001,Lab-Seminar,1,,,
Blocked,ANAT 512 002,Lab-Seminar,2,,,
Blocked,ANAT 513 001,Lab-Seminar,1,,,
Blocked,ANAT 513 002,Lab-Seminar,2,,,
Blocked,ANAT 514 001,Lab-Seminar,1,,,
Blocked,ANAT 514 002,Lab-Seminar,2,,,
Blocked,ANAT 515 001,Lab-Seminar,1,,,
Blocked,ANAT 515 002,Lab-Seminar,2,,,
Blocked,ANAT 515 003,Lab-Seminar,1,,,
Blocked,ANAT 517 001,Lab-Seminar,1,,,
Blocked,ANAT 527 001,Lecture,1,,,
Blocked,ANAT 548A 001,Directed Studies,1,,,
Blocked,ANAT 548A 002,Directed Studies,2,,,
Blocked,ANAT 548A 003,Directed Studies,2,,,
Blocked,ANAT 548B 004,Directed Studies,1,,,
Blocked,ANAT 548B 005,Directed Studies,2,,,
Blocked,ANAT 548C 006,Directed Studies,1,,,
Blocked,ANAT 548D 003,Directed Studies,1-2,,,
,ANAT 550 001,Seminar,1-2,,,
Blocked,ANAT 590 001,Lecture-Laboratory,1-2,,,
,ANAT 649 001,Thesis,1-2,,,
,ANAT 649 002,Thesis,1,,,
,ANAT 649 003,Thesis,2,,,
,ANTH 100A 001,Lecture,2,Mon Wed,15:00,16:00
,ANTH 100A D1A,Discussion,2,Fri,9:00,10:00
,ANTH 100A D1A,Discussion,2,Fri,9:00,10:00
,ANTH 100A D1B,Discussion,2,Fri,10:00,11:00
,ANTH 100A D1B,Discussion,2,Fri,10:00,11:00
,ANTH 100A D1C,Discussion,2,Fri,11:00,12:00
,ANTH 100A D1C,Discussion,2,Fri,11:00,12:00
,ANTH 100A D1D,Discussion,2,Fri,12:00,13:00
,ANTH 100A D1D,Discussion,2,Fri,12:00,13:00
Blocked,ANTH 100A D1E,Discussion,2,Fri,9:00,10:00
Blocked,ANTH 100A D1E,Discussion,2,Fri,9:00,10:00
Blocked,ANTH 100A D1F,Discussion,2,Fri,10:00,11:00
Blocked,ANTH 100A D1F,Discussion,2,Fri,10:00,11:00
STT,ANTH 100A 002,Lecture,1,Tue Thu,11:00,12:00
,ANTH 100A D2A,Discussion,1,Thu,14:00,15:00
,ANTH 100A D2B,Discussion,1,Thu,15:00,16:00
,ANTH 100A D2C,Discussion,1,Fri,9:00,10:00
,ANTH 100A D2D,Discussion,1,Fri,9:00,10:00
,ANTH 100A 003,Lecture,1,Mon Wed,16:00,17:00
,ANTH 100A D3A,Discussion,1,Fri,9:00,10:00
,ANTH 100A D3B,Discussion,1,Fri,10:00,11:00
,ANTH 100A D3C,Discussion,1,Fri,11:00,12:00
,ANTH 100A D3D,Discussion,1,Fri,12:00,13:00
,ANTH 100A D3E,Discussion,1,Fri,13:00,14:00
Blocked,ANTH 100A D3F,Discussion,1,Fri,14:00,15:00
,ANTH 100A D3G,Discussion,1,Fri,12:00,13:00
,ANTH 100A D3H,Discussion,1,Fri,9:00,10:00
,ANTH 100A D3I,Discussion,1,Fri,12:00,13:00
,ANTH 100A D3J,Discussion,1,Fri,10:00,11:00
,ANTH 100A D3K,Discussion,1,Fri,13:00,14:00
,ANTH 100A D3L,Discussion,1,Fri,11:00,12:00
,ANTH 100A D3M,Discussion,1,Fri,10:00,11:00
,ANTH 100A D3N,Discussion,1,Fri,11:00,12:00
,ANTH 100A D3O,Discussion,1,Fri,9:00,10:00
,ANTH 100A 400,Lecture,2,Mon Wed,14:00,15:00
,ANTH 100A D4A,Discussion,2,Fri,10:00,11:00
,ANTH 100A D4B,Discussion,2,Fri,11:00,12:00
,ANTH 100A D4C,Discussion,2,Fri,9:00,10:00
,ANTH 100A D4D,Discussion,2,Fri,13:00,14:00
,ANTH 100A D4E,Discussion,2,Fri,12:00,13:00
Blocked,ANTH 100A D4F,Discussion,2,Fri,9:00,10:00
Blocked,ANTH 100A D4G,Discussion,2,Fri,13:00,14:00
Blocked,ANTH 100A D4H,Discussion,2,Fri,10:00,11:00
Blocked,ANTH 100A D4I,Discussion,2,Fri,11:00,12:00
,ANTH 203 001,Lecture,1,Tue Thu,15:30,17:00
,ANTH 203 101,Lecture,2,Tue Thu,11:00,12:30
,ANTH 206 001,Lecture,2,Tue Thu,9:30,11:00
,ANTH 210 001,Lecture,1,Mon Wed Fri,15:00,16:00
,ANTH 210 002,Lecture,2,Mon Wed Fri,12:00,13:00
,ANTH 217 003,Lecture,2,Mon Wed Fri,13:00,14:00
,ANTH 220 001,Lecture,2,Tue Thu,14:00,15:30
,ANTH 227 001,Lecture,1,Mon Wed Fri,12:00,13:00
,ANTH 241 100,Lecture,1,Tue Thu,15:30,17:00
,ANTH 300A 001,Lecture,1,Tue Thu,14:00,15:30
,ANTH 300A 200,Lecture,2,Tue Thu,14:00,15:30
,ANTH 303A 001,Lecture,1,Wed,13:00,16:00
,ANTH 303A 002,Lecture,2,Tue Thu,9:00,10:30
,ANTH 303C 002,Lecture,2,Tue Thu,15:30,17:00
,ANTH 304A 100,Lecture,1,Tue Thu,15:30,17:00
,ANTH 312 002,Lecture,2,Mon Wed Fri,16:00,17:00
,ANTH 315 002,Lecture,2,Tue Thu,9:30,11:00
,ANTH 317A 001,Lecture,1,Tue Thu,15:30,16:30
,ANTH 331A 002,Lecture,1,Tue Thu,9:30,11:00
,ANTH 332 001,Seminar,1,Mon Wed,16:00,17:30
,ANTH 341A 200,Seminar,2,Tue Thu,14:00,15:30
,ANTH 351A 100,Lecture,1,Mon Wed Fri,11:00,12:00
,ANTH 360 100,Lecture,1,Tue Thu,9:30,10:30
,ANTH 378 001,Lecture,1,Mon Wed Fri,15:00,16:00
,ANTH 400A 001,Lecture,1,Tue Thu,14:00,15:30
,ANTH 400A 200,Lecture,2,Tue Thu,9:30,11:00
,ANTH 413A 002,Lecture,2,Tue Thu,15:30,17:00
,ANTH 417B 001,Lecture,2,Tue Thu,15:30,17:00
,ANTH 418 001,Lecture,1,Tue Thu,15:30,17:00
,ANTH 427 002,Lecture,2,Mon Wed Fri,12:00,13:00
,ANTH 428 002,Seminar,2,Tue Thu,11:00,12:30
,ANTH 431C 100,Lecture,1-2,Tue Thu,11:00,12:30
,ANTH 435 002,Seminar,2,Tue Thu,14:00,15:30
,ANTH 452 002,Lecture,2,Mon,13:00,16:00
Blocked,ANTH 461 002,Seminar,2,,,
,ANTH 471 002,Seminar,1,Tue Thu,9:30,11:00
,ANTH 495A 002,Lecture,2,Wed,10:00,13:00
,ANTH 500 001,Seminar,1-2,Thu,14:00,17:00
,ANTH 502O 001,Seminar,1,Tue Thu,9:30,11:00
,ANTH 506A 001,Seminar,1-2,Thu,11:30,13:00
,ANTH 516 002,Seminar,2,Wed,14:00,17:00
,ANTH 517 001,Lecture,1,Wed,14:00,17:00
,ANTH 518A 002,Seminar,2,Wed,10:00,13:00
,ANTH 519 001,Seminar,1,Tue Thu,15:30,17:00
,ANTH 519 002,Seminar,2,Tue Thu,11:00,12:30
,ANTH 540A 003,Seminar,1,Wed,10:00,13:00
,ANTH 540B 002,Seminar,2,Mon,10:00,13:00
,ANTH 540C 001,Seminar,1,Tue,9:30,12:30
,ANTH 540C 200,Seminar,1,Mon,14:00,17:00
Blocked,ANTH 545A 001,Directed Studies,1,Mon Wed Fri,,
Blocked,ANTH 545A 002,Directed Studies,2,Mon Wed Fri,,
Blocked,ANTH 545A 003,Directed Studies,1-2,,,
Blocked,ANTH 545B 001,Directed Studies,1,,,
Blocked,ANTH 545B 002,Directed Studies,2,,,
Blocked,ANTH 545B 003,Directed Studies,1-2,,,
,ANTH 549A 001,Thesis,1,Mon Wed Fri,,
,ANTH 549A 002,Thesis,2,Mon Wed Fri,,
,ANTH 549A 003,Thesis,1-2,,,
,ANTH 649 001,Thesis,1,Mon Wed Fri,,
,ANTH 649 002,Thesis,2,Mon Wed Fri,,
,ANTH 649 003,Thesis,1-2,Mon Wed Fri,,
,APBI 200 001,Lecture,2,Mon Wed Fri,10:00,11:00
,APBI 200 L01,Laboratory,2,Mon,13:00,15:00
,APBI 200 L02,Laboratory,2,Mon,15:00,17:00
,APBI 200 L03,Laboratory,2,Tue,8:00,10:00
,APBI 200 L04,Laboratory,2,Tue,10:00,12:00
,APBI 200 L05,Laboratory,2,Tue,13:00,15:00
,APBI 200 L06,Laboratory,2,Tue,15:00,17:00
,APBI 200 L07,Laboratory,2,Wed,8:00,10:00
,APBI 200 L08,Laboratory,2,Wed,13:00,15:00
,APBI 200 L09,Laboratory,2,Wed,15:00,17:00
,APBI 200 L10,Laboratory,2,Thu,10:00,12:00
,APBI 200 002,Lecture,2,Mon Wed Fri,11:00,12:00
,APBI 200 L01,Laboratory,2,Mon,13:00,15:00
,APBI 200 L02,Laboratory,2,Mon,15:00,17:00
,APBI 200 L03,Laboratory,2,Tue,8:00,10:00
,APBI 200 L04,Laboratory,2,Tue,10:00,12:00
,APBI 200 L05,Laboratory,2,Tue,13:00,15:00
,APBI 200 L06,Laboratory,2,Tue,15:00,17:00
,APBI 200 L07,Laboratory,2,Wed,8:00,10:00
,APBI 200 L08,Laboratory,2,Wed,13:00,15:00
,APBI 200 L09,Laboratory,2,Wed,15:00,17:00
,APBI 200 L10,Laboratory,2,Thu,10:00,12:00
,APBI 210 001,Lecture,2,Mon Wed Fri,11:00,12:00
,APBI 210 L01,Laboratory,2,Thu,9:30,12:30
,APBI 210 L02,Laboratory,2,Thu,9:30,12:30
,APBI 210 L03,Laboratory,2,Thu,14:00,17:00
,APBI 210 L05,Laboratory,2,Fri,14:00,17:00
,APBI 210 L06,Laboratory,2,Fri,14:00,17:00
,APBI 210 L08,Laboratory,2,Fri,8:00,11:00
,APBI 222 001,Lecture,1,Tue Thu,9:30,11:00
,APBI 222 L01,Laboratory,1,Fri,11:00,14:00
,APBI 244 001,Lecture,1,Mon Wed Fri,10:00,11:00
,APBI 244 L01,Laboratory,1,Tue,9:00,11:00
,APBI 244 L02,Laboratory,1,Tue,11:00,13:00
,APBI 244 L03,Laboratory,1,Thu,9:00,11:00
,APBI 244 L04,Laboratory,1,Thu,11:00,13:00
,APBI 244 L05,Laboratory,1,Thu,13:00,15:00
,APBI 244 L1F,Laboratory,1,Tue,13:00,15:00
Restricted,APBI 260 001,Lecture,1,Mon Wed,11:00,12:00
Restricted,APBI 260 L01,Laboratory,1,Wed,13:00,16:00
Restricted,APBI 260 T01,Discussion,1,Mon,13:00,16:00
Blocked,APBI 260 0W1,Waiting List,1,,,
,APBI 265 001,Lecture,2,Wed,13:00,16:00
,APBI 290 001,Lecture,1,Tue Thu,11:00,12:30
,APBI 311 001,Lecture,2,Mon Wed Fri,11:00,12:00
,APBI 311 0W1,Waiting List,2,,,
,APBI 312 001,Lecture,1,Tue Thu,12:30,14:00
Blocked,APBI 312 0W1,Waiting List,1,,,
Restricted,APBI 314 001,Lecture,1,Tue Thu,14:00,15:30
Restricted,APBI 314 003,Lecture,2,Thu,12:30,15:30
,APBI 314 0W1,Waiting List,1,,,
,APBI 315 001,Lecture,2,Tue Thu,14:00,15:30
Restricted,APBI 315 0W1,Waiting List,2,,,
Restricted,APBI 316 001,Lecture,2,Tue Thu,16:00,17:30
Restricted,APBI 317 002,Lecture,2,Tue Thu,12:30,14:00
,APBI 318 001,Lecture,1,Tue Thu,9:30,11:00
,APBI 319 99C,Distance Education,C,,,
,APBI 322 001,Lecture,2,Mon Wed Fri,10:00,11:00
,APBI 322 L01,Laboratory,2,Wed,12:00,15:00
,APBI 324 L01,Laboratory,1,Thu,14:00,17:00
,APBI 324 L02,Laboratory,1,Wed,14:00,17:00
,APBI 327 001,Lecture,1,Tue Thu,8:00,9:00
,APBI 327 L01,Laboratory,1,Thu,9:00,11:00
,APBI 327 L02,Laboratory,1,Thu,9:00,11:00
,APBI 327 L03,Laboratory,1,Thu,13:30,15:30
,APBI 327 L04,Laboratory,1,Thu,13:30,15:30
,APBI 328 001,Lecture,1,Mon Wed Fri,9:00,10:00
,APBI 328 L01,Laboratory,1,Mon,12:00,13:30
,APBI 328 L02,Laboratory,1,Mon,13:30,15:00
,APBI 328 L03,Laboratory,1,Mon,15:00,16:30
,APBI 342 001,Lecture,2,Tue Thu,11:00,12:00
,APBI 342 L01,Laboratory,2,Tue,14:00,17:00
,APBI 351 001,Lecture,1,Mon Wed Fri,10:00,11:00
,APBI 351 L01,Laboratory,1,Mon,14:00,17:00
,APBI 351 L02,Laboratory,1,Tue,14:00,17:00
,APBI 351 L03,Laboratory,1,Wed,14:00,17:00
,APBI 351 L04,Laboratory,1,Thu,14:00,17:00
Blocked,APBI 351 0W1,Waiting List,1,,,
,APBI 360 001,Lecture,2,Tue Thu,12:30,14:00
,APBI 361 199,Web-Oriented Course,2,,,
,APBI 361 1W9,Waiting List,2,,,
Restricted,APBI 398 001,Lecture,1,Mon,14:00,17:00
Restricted,APBI 398 002,Lecture,2,Mon,14:00,17:00
,APBI 401 001,Lecture,1,Mon Wed Fri,11:00,12:00
,APBI 402 001,Lecture,2,Fri,13:00,14:00
,APBI 402 T01,Tutorial,2,Mon,15:00,17:00
,APBI 410 002,Lecture,1,Tue Thu,14:00,15:30
Restricted,APBI 413 001,Lecture,1,Tue Thu,11:00,12:30
Restricted,APBI 414 001,Lecture,1,Mon,13:00,16:00
Restricted,APBI 415 001,Lecture,2,Tue Thu,11:00,12:30
Restricted,APBI 416 001,Lecture,1,Wed,10:00,13:00
,APBI 418 99A,Distance Education,A,,,
,APBI 419 99C,Distance Education,C,,,
,APBI 423 001,Lecture,2,Tue Thu,17:00,18:30
,APBI 426 001,Lecture,1,Mon Wed Fri,11:00,12:00
,APBI 426 T01,Tutorial,1,Wed,14:00,16:00
,APBI 428 99C,Distance Education,C,,,
,APBI 442 001,Lecture,1,Tue Thu,11:00,12:30
,APBI 444 001,Lecture,2,Tue,14:00,15:00
,APBI 444 T01,Tutorial,2,Tue,15:00,17:00
,APBI 460 001,Lecture,1,Tue Thu,12:30,14:00
Blocked,APBI 465 001,Practicum,1,,,
,APBI 490 101,Lecture,1,Wed,13:00,16:00
Blocked,APBI 496A 001,Practicum,1,,,
Blocked,APBI 496A 002,Practicum,2,,,
Blocked,APBI 496A 003,Practicum,1-2,,,
Blocked,APBI 496B 001,Practicum,1,,,
Blocked,APBI 496B 002,Practicum,2,,,
Blocked,APBI 496B 003,Practicum,1-2,,,
Blocked,APBI 497A 001,Directed Studies,1,,,
Blocked,APBI 497A 002,Directed Studies,2,,,
Blocked,APBI 497B 001,Directed Studies,1,,,
Blocked,APBI 497B 002,Directed Studies,2,,,
Blocked,APBI 497C 001,Directed Studies,1,,,
Blocked,APBI 497C 002,Directed Studies,2,,,
Blocked,APBI 497D 001,Directed Studies,1,,,
Blocked,APBI 497D 002,Directed Studies,2,,,
Blocked,APBI 497E 001,Directed Studies,1-2,,,
Blocked,APBI 497E 101,Directed Studies,1,,,
Blocked,APBI 497E 102,Directed Studies,2,,,
Restricted,APPP 501 101,Seminar,2,Mon Wed,8:00,10:00
Restricted,APPP 502 101,Lecture,1,Mon Wed,8:00,9:30
Restricted,APPP 502 102,Lecture,1,Mon Wed,9:30,11:00
Restricted,APPP 503 101,Lecture,2,Mon Wed,8:00,10:00
Restricted,APPP 503 102,Lecture,2,Mon Wed,10:00,12:00
Restricted,APPP 505 101,Lecture,2,Mon Wed,12:30,14:00
Unreleased,APPP 506 201,Project,1,,,
Restricted,APPP 506C 101,Project,1,,,
Restricted,APPP 506C 103,Project,1,,,
STT,APSC 100 101,Lecture,1,Mon Fri,8:00,9:00
STT,APSC 100 L1A,Laboratory,1,Thu,8:00,10:00
STT,APSC 100 L1B,Laboratory,1,Mon,12:00,14:00
STT,APSC 100 L1C,Laboratory,1,Wed,12:00,14:00
STT,APSC 100 L1D,Laboratory,1,Thu,14:00,16:00
STT,APSC 100 L1E,Laboratory,1,Tue,12:00,14:00
STT,APSC 100 L1F,Laboratory,1,Thu,12:00,14:00
STT,APSC 100 L1G,Laboratory,1,Thu,10:00,12:00
STT,APSC 100 L1H,Laboratory,1,Tue,8:00,10:00
STT,APSC 100 L1I,Laboratory,1,Tue,14:00,16:00
STT,APSC 100 L1J,Laboratory,1,Fri,12:00,14:00
STT,APSC 100 L1K,Laboratory,1,Tue,10:00,12:00
STT,APSC 100 L1L,Laboratory,1,Wed,16:00,18:00
STT,APSC 100 L1M,Laboratory,1,Wed,14:00,16:00
STT,APSC 100 L1N,Laboratory,1,Mon,10:00,12:00
STT,APSC 100 L1Q,Laboratory,1,Tue,16:00,18:00
STT,APSC 100 L1S,Laboratory,1,Fri,8:00,10:00
STT,APSC 100 L1T,Laboratory,1,Wed,8:00,10:00
STT,APSC 100 102,Lecture,1,Mon Fri,9:00,10:00
STT,APSC 100 L1A,Laboratory,1,Thu,8:00,10:00
STT,APSC 100 L1B,Laboratory,1,Mon,12:00,14:00
STT,APSC 100 L1C,Laboratory,1,Wed,12:00,14:00
STT,APSC 100 L1D,Laboratory,1,Thu,14:00,16:00
STT,APSC 100 L1E,Laboratory,1,Tue,12:00,14:00
STT,APSC 100 L1F,Laboratory,1,Thu,12:00,14:00
STT,APSC 100 L1G,Laboratory,1,Thu,10:00,12:00
STT,APSC 100 L1H,Laboratory,1,Tue,8:00,10:00
STT,APSC 100 L1I,Laboratory,1,Tue,14:00,16:00
STT,APSC 100 L1J,Laboratory,1,Fri,12:00,14:00
STT,APSC 100 L1K,Laboratory,1,Tue,10:00,12:00
STT,APSC 100 L1L,Laboratory,1,Wed,16:00,18:00
STT,APSC 100 L1M,Laboratory,1,Wed,14:00,16:00
STT,APSC 100 L1N,Laboratory,1,Mon,10:00,12:00
STT,APSC 100 L1Q,Laboratory,1,Tue,16:00,18:00
STT,APSC 100 L1S,Laboratory,1,Fri,8:00,10:00
STT,APSC 100 L1T,Laboratory,1,Wed,8:00,10:00
STT,APSC 100 103,Lecture,1,Mon Fri,15:00,16:00
STT,APSC 100 L1A,Laboratory,1,Thu,8:00,10:00
STT,APSC 100 L1B,Laboratory,1,Mon,12:00,14:00
STT,APSC 100 L1C,Laboratory,1,Wed,12:00,14:00
STT,APSC 100 L1D,Laboratory,1,Thu,14:00,16:00
STT,APSC 100 L1E,Laboratory,1,Tue,12:00,14:00
STT,APSC 100 L1F,Laboratory,1,Thu,12:00,14:00
STT,APSC 100 L1G,Laboratory,1,Thu,10:00,12:00
STT,APSC 100 L1H,Laboratory,1,Tue,8:00,10:00
STT,APSC 100 L1I,Laboratory,1,Tue,14:00,16:00
STT,APSC 100 L1J,Laboratory,1,Fri,12:00,14:00
STT,APSC 100 L1K,Laboratory,1,Tue,10:00,12:00
STT,APSC 100 L1L,Laboratory,1,Wed,16:00,18:00
STT,APSC 100 L1M,Laboratory,1,Wed,14:00,16:00
STT,APSC 100 L1N,Laboratory,1,Mon,10:00,12:00
STT,APSC 100 L1Q,Laboratory,1,Tue,16:00,18:00
STT,APSC 100 L1S,Laboratory,1,Fri,8:00,10:00
STT,APSC 100 L1T,Laboratory,1,Wed,8:00,10:00
STT,APSC 100 104,Lecture,1,Mon Fri,16:00,17:00
STT,APSC 100 L1A,Laboratory,1,Thu,8:00,10:00
STT,APSC 100 L1B,Laboratory,1,Mon,12:00,14:00
STT,APSC 100 L1C,Laboratory,1,Wed,12:00,14:00
STT,APSC 100 L1D,Laboratory,1,Thu,14:00,16:00
STT,APSC 100 L1E,Laboratory,1,Tue,12:00,14:00
STT,APSC 100 L1F,Laboratory,1,Thu,12:00,14:00
STT,APSC 100 L1G,Laboratory,1,Thu,10:00,12:00
STT,APSC 100 L1H,Laboratory,1,Tue,8:00,10:00
STT,APSC 100 L1I,Laboratory,1,Tue,14:00,16:00
STT,APSC 100 L1J,Laboratory,1,Fri,12:00,14:00
STT,APSC 100 L1K,Laboratory,1,Tue,10:00,12:00
STT,APSC 100 L1L,Laboratory,1,Wed,16:00,18:00
STT,APSC 100 L1M,Laboratory,1,Wed,14:00,16:00
STT,APSC 100 L1N,Laboratory,1,Mon,10:00,12:00
STT,APSC 100 L1Q,Laboratory,1,Tue,16:00,18:00
STT,APSC 100 L1S,Laboratory,1,Fri,8:00,10:00
STT,APSC 100 L1T,Laboratory,1,Wed,8:00,10:00
STT,APSC 100 9AR,Lecture,1,,,
STT,APSC 100 L1R,Laboratory,1,Fri,10:00,12:00
STT,APSC 101 201,Lecture,2,Mon Fri,8:00,9:00
STT,APSC 101 L2A,Laboratory,2,Mon,14:00,16:00
STT,APSC 101 L2B,Laboratory,2,Mon,10:00,12:00
STT,APSC 101 L2C,Laboratory,2,Tue,8:00,10:00
STT,APSC 101 L2D,Laboratory,2,Tue,10:00,12:00
STT,APSC 101 L2E,Laboratory,2,Tue,12:00,14:00
STT,APSC 101 L2F,Laboratory,2,Mon,16:00,18:00
STT,APSC 101 L2G,Laboratory,2,Tue,16:00,18:00
STT,APSC 101 L2H,Laboratory,2,Wed,8:00,10:00
STT,APSC 101 L2J,Laboratory,2,Wed,10:00,12:00
STT,APSC 101 L2L,Laboratory,2,Wed,15:00,17:00
STT,APSC 101 L2M,Laboratory,2,Wed,17:00,19:00
STT,APSC 101 L2N,Laboratory,2,Thu,8:00,10:00
STT,APSC 101 L2P,Laboratory,2,Thu,12:00,14:00
STT,APSC 101 L2R,Laboratory,2,Thu,15:30,17:30
STT,APSC 101 L2U,Laboratory,2,Fri,10:00,12:00
STT,APSC 101 202,Lecture,2,Mon Fri,9:00,10:00
STT,APSC 101 L2A,Laboratory,2,Mon,14:00,16:00
STT,APSC 101 L2C,Laboratory,2,Tue,8:00,10:00
STT,APSC 101 L2D,Laboratory,2,Tue,10:00,12:00
STT,APSC 101 L2E,Laboratory,2,Tue,12:00,14:00
STT,APSC 101 L2F,Laboratory,2,Mon,16:00,18:00
STT,APSC 101 L2G,Laboratory,2,Tue,16:00,18:00
STT,APSC 101 L2H,Laboratory,2,Wed,8:00,10:00
STT,APSC 101 L2J,Laboratory,2,Wed,10:00,12:00
STT,APSC 101 L2L,Laboratory,2,Wed,15:00,17:00
STT,APSC 101 L2M,Laboratory,2,Wed,17:00,19:00
STT,APSC 101 L2N,Laboratory,2,Thu,8:00,10:00
STT,APSC 101 L2P,Laboratory,2,Thu,12:00,14:00
STT,APSC 101 L2R,Laboratory,2,Thu,15:30,17:30
STT,APSC 101 L2T,Laboratory,2,Fri,8:00,10:00
STT,APSC 101 L2U,Laboratory,2,Fri,10:00,12:00
STT,APSC 101 203,Lecture,2,Mon Fri,16:00,17:00
STT,APSC 101 L2C,Laboratory,2,Tue,8:00,10:00
STT,APSC 101 L2D,Laboratory,2,Tue,10:00,12:00
STT,APSC 101 L2E,Laboratory,2,Tue,12:00,14:00
STT,APSC 101 L2F,Laboratory,2,Mon,16:00,18:00
STT,APSC 101 L2G,Laboratory,2,Tue,16:00,18:00
STT,APSC 101 L2H,Laboratory,2,Wed,8:00,10:00
STT,APSC 101 L2J,Laboratory,2,Wed,10:00,12:00
STT,APSC 101 L2L,Laboratory,2,Wed,15:00,17:00
STT,APSC 101 L2M,Laboratory,2,Wed,17:00,19:00
STT,APSC 101 L2N,Laboratory,2,Thu,8:00,10:00
STT,APSC 101 L2P,Laboratory,2,Thu,12:00,14:00
STT,APSC 101 L2R,Laboratory,2,Thu,15:30,17:30
STT,APSC 101 L2T,Laboratory,2,Fri,8:00,10:00
STT,APSC 101 L2U,Laboratory,2,Fri,10:00,12:00
